text,label,note
"I loovee when people text back ... 😒 #sarcastictweet",1,contrast frame + elongated love + emoji + cue hashtag
"Don't you love it when your parents are Pissed because you were gonna study after bubble soccer ! #IKnowIDo #not 😃 🔫",1,love-it-when frame + #not + mixed emoji
"I just love having grungy ass hair 😑 #not",1,positive verb + negative noun + #not
"Being sore is the best and the worst feeling in the world",1,contrast without an explicit cue hashtag
"Happy birthday to me. Yay.",1,deadpan positive with no hashtag
"100 days until Christmas! 🌲 #too soon #not ready yet",0,#not is inside a phrase here; label is literal in train
"<user> i hope youre lurking rn. i want to listen to hallucination & wanna love you again live someday, pretty please?! 😭 😭 😭",0,literal fan tweet with emoji
"follow me so you can actually speak to me instead of writing bitchy tweets and then deleting them 👏 👏 👏",0,emoji-heavy subtest-style literal
"i just imagined you dancing like this",0,short literal, no hashtag
"So many useless classes , great to be student",1,positive valence without #not
